DATE,WAREHOUSE,START_TIME,SHIFT_DURATION_HR,OPERATING_VEHICLE,STARTING_MILEAGE,FINAL_MILEAGE,ROUTE_MILEAGE,NEIGHBORHOOD(S),WHS-NBHD_MIN-APPROX-DIST,FUEL_TOTAL,FUEL_GAL,PRICE_PER_GAL,OIL_COMPANY,GAS_CATEGORY,GAS_STATION_ADDRESS,GS-WHS_DIST,TOTAL_PKGS,ON-TIME_PKGS,RETURNED_PKGS,LATE_PKGS,MISSING_ORDERS,ON-TIME_RATIO,PDD_FAIL_RATIO,LATE-PKGE_RATIO,RCVD-PKGE_RATIO,ON-TIME_ARR (Y/N),TRAFFIC (Y/N),WHS_DELAY (Y/N),BAD_WEATHER (Y/N),OTHER_DELAYS (Y/N)
1/2/21,DSD3 (National City),5:00 PM,3.0,Sedan (Jetta VW),94918,94939,21,BONITA  /  NATIONAL CITY,4.50,$11.04,3.085,$3.579,Shell Oil Company,V-Power,3230 National City Blvd,1.3,54,54,0,0,0,100%,0%,0%,100%,YES,NO,NO,NO,NO
1/8/21,DSD3 (National City),5:00 PM,4.0,Sedan (Jetta VW),94975,95001,26,MISSION BEACH / OCEAN BEACH,13.70,$11.02,3.062,$3.599,Shell Oil Company,V-Power,3230 National City Blvd,1.3,38,38,0,0,0,100%,0%,0%,100%,YES,NO,NO,NO,NO
1/15/21,DSD3 (National City),5:30 PM,5.5,Sedan (Jetta VW),95145,95177,32,DOWNTOWN AREA / LOGAN,7.60,$20.22,5.525,$3.659,Shell Oil Company,V-Power,3230 National City Blvd,1.3,33,27,2,4,0,87%,6%,13%,94%,YES,NO,YES,NO,NO
1/22/21,DSD3 (National City),5:00 PM,4.0,Sedan (Jetta VW),95217,95234,17,HILLCREST / MONTECITO POINT,8.70,$11.10,3.002,$3.699,Shell Oil Company,V-Power,3230 National City Blvd,1.3,40,40,0,0,0,100%,0%,0%,100%,YES,NO,NO,NO,NO
1/29/21,DSD3 (National City),5:00 PM,3.5,Sedan (Jetta VW),95275,95312,37,EL CAJON / SPRING VALLEY / LA MESA,13.00,$11.50,3.027,$3.799,Shell Oil Company,V-Power,3230 National City Blvd,1.3,30,30,0,0,0,100%,0%,0%,100%,YES,NO,NO,YES,NO
2/5/21,DSD3 (National City),5:00 PM,4.5,Sedan (Jetta VW),95362,95385,23,NORTH PARK,8.50,$11.30,2.974,$3.799,Shell Oil Company,V-Power,3230 National City Blvd,1.3,39,39,0,0,0,100%,0%,0%,100%,YES,NO,NO,NO,NO
2/12/21,DSD3 (National City),5:00 PM,4.5,Sedan (Jetta VW),95422,95471,49,SAN YSIDRO / OTAY MESA / OCEAN VIEW,9.30,$11.37,3.133,$3.629,Shell Oil Company,Plus,3230 National City Blvd,1.3,31,30,1,0,0,100%,3%,0%,97%,YES,NO,NO,NO,NO
2/13/21,DSD3 (National City),5:00 PM,3.5,Sedan (Jetta VW),95501,95532,31,PALM CITY / OTAY / OCEAN VIEW,6.00,$11.30,3.114,$3.629,Shell Oil Company,Plus,3230 National City Blvd,1.3,46,46,0,0,0,100%,0%,0%,100%,YES,NO,NO,NO,NO
2/19/21,DSD3 (National City),5:00 PM,2.8,Sedan (Jetta VW),95557,95588,31,EL CAJON,13.00,$11.40,2.954,$3.859,Chevron Corporation,Regular,604 Dennery Rd,9,26,26,0,0,0,100%,0%,0%,100%,YES,NO,NO,NO,NO
2/26/21,DSD3 (National City),5:00 PM,2.9,Sedan (Jetta VW),95642,95676,34,SAN YSIDRO / OTAY MESA / OCEAN VIEW,9.30,$11.23,3.103,$3.619,Shell Oil Company,Regular,3230 National City Blvd,1.3,28,28,0,0,0,100%,0%,0%,100%,YES,NO,NO,NO,NO
3/5/21,DSD3 (National City),5:00 PM,3.5,Sedan (Jetta VW),95708,95756,48,EL CAJON,13.00,$11.28,3.117,$3.619,Shell Oil Company,Regular,3230 National City Blvd,1.3,25,25,0,0,0,100%,0%,0%,100%,NO,NO,NO,NO,NO
3/12/21,DSD3 (National City),5:00 PM,3.5,Sedan (Jetta VW),95809,95829,20,CASTLE PARK / PALM CITY / IMPERIAL BEACH,4.30,$11.38,3.035,$3.749,Shell Oil Company,Regular,3230 National City Blvd,1.3,37,37,0,0,0,100%,0%,0%,100%,YES,NO,NO,NO,NO
3/19/21,DSD3 (National City),5:00 PM,3.3,Sedan (Jetta VW),95866,95881,15,OLD CHULA VISTA,3.20,$12.23,3.236,$3.779,Shell Oil Company,Regular,3230 National City Blvd,1.3,33,33,0,0,0,100%,0%,0%,100%,YES,NO,NO,NO,NO
3/24/21,DSD3 (National City),5:15 PM,4.5,Sedan (Jetta VW),95918,95941,23,MT HOPE / STOCKTON / E. SD / FAIRMOUNT / N. PARK,4.60,$11.71,3.100,$3.779,Shell Oil Company,Regular,3230 National City Blvd,1.3,37,37,0,0,0,100%,0%,0%,100%,YES,NO,NO,NO,NO
3/29/21,DSD3 (National City),5:00 PM,4.0,Sedan (Jetta VW),95980,96005,25,LEMON GROVE / SPRING VALLEY,10.30,$12.29,3.218,$3.819,Shell Oil Company,Regular,3230 National City Blvd,1.3,36,36,0,0,0,100%,0%,0%,100%,YES,NO,NO,NO,NO
4/2/21,DSD3 (National City),5:00 PM,4.5,Sedan (Jetta VW),96045,96068,23,OAK PARK / COLINA DEL SOL / NORMAL HEIGHTS,9.20,$12.47,3.239,$3.849,Shell Oil Company,Regular,3230 National City Blvd,1.3,34,34,0,0,0,100%,0%,0%,100%,YES,NO,NO,NO,NO
