DATE,NEIGHBORHOOD(S),NEIGHBORHOOD_1,NEIGHBORHOOD_2,NEIGHBORHOOD_3,TOTAL_NBHD_COUNT,NON-DWTN_COUNT,NON-DWTN_EMPIRICAL_PROBABILITY
2021-01-02,BONITA / NATIONAL CITY,BONITA ,NATIONAL CITY,NA,2,2,1.00
2021-01-08,MISSION BEACH / OCEAN BEACH,MISSION BEACH ,OCEAN BEACH,NA,2,2,1.00
2021-01-15,DOWNTOWN AREA / LOGAN,DOWNTOWN AREA ,LOGAN,NA,2,1,0.50
2021-01-22,HILLCREST / MONTECITO POINT,HILLCREST ,MONTECITO POINT,NA,2,2,1.00
2021-01-29,EL CAJON /  SPRING VALLEY / LA MESA,EL CAJON ,  SPRING VALLEY , LA MESA,3,3,1.00
2021-02-05,NORTH PARK,NORTH PARK,NA,NA,1,1,1.00
2021-02-12,SAN YSIDRO / OTAY MESA / OCEAN VIEW,SAN YSIDRO , OTAY MESA , OCEAN VIEW,3,3,1.00
2021-02-13,PALM CITY / OTAY / OCEAN VIEW,PALM CITY , OTAY , OCEAN VIEW,3,3,1.00
2021-02-19,EL CAJON,EL CAJON,NA,NA,1,1,1.00
2021-02-26,SAN YSIDRO / OTAY MESA / OCEAN VIEW,SAN YSIDRO , OTAY MESA , OCEAN VIEW,3,3,1.00
2021-03-05,EL CAJON,EL CAJON,NA,NA,1,1,1.00
